candidate_id,query_name,official_id,final_benchmark_group,g_class,design_pattern,collection_name,root_entity,db_name,documents_inserted,loaded_collections_json,elapsed_seconds,load_status,error_message
ldbc_snb_ins3_g6_c1c01729,INS3_AddLikeToComment,INS3,primary,G6,referenced_or_reverse_indexed_edges,persons,Person,ldbc_snb_exec_clean_ldbc_snb_ins3_g6_c1c01729,365707,"{""persons"": 1528, ""comments"": 151043, ""person_likes_comment"": 62225, ""posts"": 135701, ""forums"": 13750, ""places"": 1460}",8.01474014899577,completed,
ldbc_snb_ins4_g0_63b0def3,INS4_AddForum,INS4,primary,G0,root_with_references,forums,Forum,ldbc_snb_exec_clean_ldbc_snb_ins4_g0_63b0def3,381009,"{""forums"": 13750, ""persons"": 1528, ""tags"": 16080, ""forum_has_moderator_person"": 13750, ""forum_has_tag"": 47697, ""posts"": 135701, ""comments"": 151043, ""places"": 1460}",8.238187587005086,completed,
ldbc_snb_ins4_g3_b5f0ac72,INS4_AddForum,INS4,primary,G3,root_with_references_or_summaries,forums,Forum,ldbc_snb_exec_clean_ldbc_snb_ins4_g3_b5f0ac72,381009,"{""forums"": 13750, ""persons"": 1528, ""tags"": 16080, ""forum_has_moderator_person"": 13750, ""forum_has_tag"": 47697, ""posts"": 135701, ""comments"": 151043, ""places"": 1460}",8.439181427995209,completed,
ldbc_snb_ins5_g4_79a744a2,INS5_AddForumMembership,INS5,primary,G4,explicit_edge_collection,forums,Forum,ldbc_snb_exec_clean_ldbc_snb_ins5_g4_79a744a2,426750,"{""forums"": 13750, ""persons"": 1528, ""forum_has_member_person"": 123268, ""posts"": 135701, ""comments"": 151043, ""places"": 1460}",8.98620873199252,completed,
ldbc_snb_ins5_g6_9496cfdb,INS5_AddForumMembership,INS5,primary,G6,referenced_or_reverse_indexed_edges,forums,Forum,ldbc_snb_exec_clean_ldbc_snb_ins5_g6_9496cfdb,426750,"{""forums"": 13750, ""persons"": 1528, ""forum_has_member_person"": 123268, ""posts"": 135701, ""comments"": 151043, ""places"": 1460}",9.062142837996362,completed,
ldbc_snb_ins6_g0_50983b9d,INS6_AddPost,INS6,primary,G0,root_with_references,posts,Post,ldbc_snb_exec_clean_ldbc_snb_ins6_g0_50983b9d,777783,"{""posts"": 135701, ""persons"": 1528, ""forums"": 13750, ""places"": 1460, ""tags"": 16080, ""post_has_creator_person"": 135701, ""forum_container_of_post"": 135701, ""post_is_located_in_place"": 135701, ""post_has_tag"": 51118, ""comments"": 151043}",12.239884012989933,completed,
ldbc_snb_ins6_g3_d110d93b,INS6_AddPost,INS6,primary,G3,root_with_references_or_summaries,posts,Post,ldbc_snb_exec_clean_ldbc_snb_ins6_g3_d110d93b,777783,"{""posts"": 135701, ""persons"": 1528, ""forums"": 13750, ""places"": 1460, ""tags"": 16080, ""post_has_creator_person"": 135701, ""forum_container_of_post"": 135701, ""post_is_located_in_place"": 135701, ""post_has_tag"": 51118, ""comments"": 151043}",26.961485414998606,completed,
ldbc_snb_ins6_g7_2ba4aefb,INS6_AddPost,INS6,secondary_affected,G7,containment_baseline,posts,Post,ldbc_snb_exec_clean_ldbc_snb_ins6_g7_2ba4aefb,777783,"{""posts"": 135701, ""persons"": 1528, ""forums"": 13750, ""places"": 1460, ""tags"": 16080, ""post_has_creator_person"": 135701, ""forum_container_of_post"": 135701, ""post_is_located_in_place"": 135701, ""post_has_tag"": 51118, ""comments"": 151043}",12.34314738799003,completed,
ldbc_snb_ins6_g9_0dad4d32,INS6_AddPost,INS6,secondary_affected,G9,hybrid_containment,posts,Post,ldbc_snb_exec_clean_ldbc_snb_ins6_g9_0dad4d32,777783,"{""posts"": 135701, ""persons"": 1528, ""forums"": 13750, ""places"": 1460, ""tags"": 16080, ""post_has_creator_person"": 135701, ""forum_container_of_post"": 135701, ""post_is_located_in_place"": 135701, ""post_has_tag"": 51118, ""comments"": 151043}",12.416148215997964,completed,
ldbc_snb_ins7_g0_1f628fad,INS7_AddComment,INS7,primary,G0,root_with_references,comments,Comment,ldbc_snb_exec_clean_ldbc_snb_ins7_g0_1f628fad,963994,"{""comments"": 151043, ""persons"": 1528, ""posts"": 135701, ""places"": 1460, ""tags"": 16080, ""comment_has_creator_person"": 151043, ""comment_reply_of_post"": 74256, ""comment_reply_of_comment"": 76787, ""comment_is_located_in_place"": 151043, ""comment_has_tag"": 191303, ""forums"": 13750}",14.052430868003285,completed,
ldbc_snb_ins7_g3_e7300dd8,INS7_AddComment,INS7,primary,G3,root_with_references_or_summaries,comments,Comment,ldbc_snb_exec_clean_ldbc_snb_ins7_g3_e7300dd8,963994,"{""comments"": 151043, ""persons"": 1528, ""posts"": 135701, ""places"": 1460, ""tags"": 16080, ""comment_has_creator_person"": 151043, ""comment_reply_of_post"": 74256, ""comment_reply_of_comment"": 76787, ""comment_is_located_in_place"": 151043, ""comment_has_tag"": 191303, ""forums"": 13750}",14.263630332003231,completed,
ldbc_snb_ins7_g7_c86de251,INS7_AddComment,INS7,secondary_affected,G7,containment_baseline,comments,Comment,ldbc_snb_exec_clean_ldbc_snb_ins7_g7_c86de251,963994,"{""comments"": 151043, ""persons"": 1528, ""posts"": 135701, ""places"": 1460, ""tags"": 16080, ""comment_has_creator_person"": 151043, ""comment_reply_of_post"": 74256, ""comment_reply_of_comment"": 76787, ""comment_is_located_in_place"": 151043, ""comment_has_tag"": 191303, ""forums"": 13750}",14.184431969988509,completed,
ldbc_snb_ins7_g9_bcd2ce9b,INS7_AddComment,INS7,secondary_affected,G9,hybrid_containment,comments,Comment,ldbc_snb_exec_clean_ldbc_snb_ins7_g9_bcd2ce9b,963994,"{""comments"": 151043, ""persons"": 1528, ""posts"": 135701, ""places"": 1460, ""tags"": 16080, ""comment_has_creator_person"": 151043, ""comment_reply_of_post"": 74256, ""comment_reply_of_comment"": 76787, ""comment_is_located_in_place"": 151043, ""comment_has_tag"": 191303, ""forums"": 13750}",14.257609813997988,completed,
ldbc_snb_ins8_g0_2acc6939,INS8_AddFriendship,INS8,primary,G0,root_with_references,persons,Person,ldbc_snb_exec_clean_ldbc_snb_ins8_g0_2acc6939,317555,"{""persons"": 1528, ""person_knows_person"": 14073, ""posts"": 135701, ""comments"": 151043, ""forums"": 13750, ""places"": 1460}",7.772739937005099,completed,
ldbc_snb_ins8_g3_8e5c5f42,INS8_AddFriendship,INS8,primary,G3,root_with_references_or_summaries,persons,Person,ldbc_snb_exec_clean_ldbc_snb_ins8_g3_8e5c5f42,317555,"{""persons"": 1528, ""person_knows_person"": 14073, ""posts"": 135701, ""comments"": 151043, ""forums"": 13750, ""places"": 1460}",7.557798752997769,completed,
ldbc_snb_is1_g0_edd90ee3,IS1_ProfileOfPerson,IS1,primary,G0,root_with_references,persons,Person,ldbc_snb_exec_clean_ldbc_snb_is1_g0_edd90ee3,305010,"{""persons"": 1528, ""places"": 1460, ""person_is_located_in_place"": 1528, ""posts"": 135701, ""comments"": 151043, ""forums"": 13750}",7.373829846008448,completed,
ldbc_snb_is1_g3_6c817501,IS1_ProfileOfPerson,IS1,primary,G3,root_with_references_or_summaries,persons,Person,ldbc_snb_exec_clean_ldbc_snb_is1_g3_6c817501,305010,"{""persons"": 1528, ""places"": 1460, ""person_is_located_in_place"": 1528, ""posts"": 135701, ""comments"": 151043, ""forums"": 13750}",17.373187429999234,completed,
ldbc_snb_is2_g0_1d094f1c,IS2_RecentMessagesOfPerson,IS2,secondary_affected,G0,root_with_references,persons,Person,ldbc_snb_exec_clean_ldbc_snb_is2_g0_1d094f1c,741269,"{""persons"": 1528, ""posts"": 135701, ""comments"": 151043, ""post_has_creator_person"": 135701, ""comment_has_creator_person"": 151043, ""comment_reply_of_post"": 74256, ""comment_reply_of_comment"": 76787, ""forums"": 13750, ""places"": 1460}",12.109509295987664,completed,
ldbc_snb_is2_g3_b993236d,IS2_RecentMessagesOfPerson,IS2,secondary_affected,G3,root_with_references_or_summaries,persons,Person,ldbc_snb_exec_clean_ldbc_snb_is2_g3_b993236d,741269,"{""persons"": 1528, ""posts"": 135701, ""comments"": 151043, ""post_has_creator_person"": 135701, ""comment_has_creator_person"": 151043, ""comment_reply_of_post"": 74256, ""comment_reply_of_comment"": 76787, ""forums"": 13750, ""places"": 1460}",11.944763765990501,completed,
ldbc_snb_is2_g4_9622e695,IS2_RecentMessagesOfPerson,IS2,secondary_affected,G4,explicit_edge_collection,persons,Person,ldbc_snb_exec_clean_ldbc_snb_is2_g4_9622e695,741269,"{""persons"": 1528, ""posts"": 135701, ""comments"": 151043, ""post_has_creator_person"": 135701, ""comment_has_creator_person"": 151043, ""comment_reply_of_post"": 74256, ""comment_reply_of_comment"": 76787, ""forums"": 13750, ""places"": 1460}",11.794083473010687,completed,
ldbc_snb_is2_g6_7253ed90,IS2_RecentMessagesOfPerson,IS2,secondary_affected,G6,referenced_or_reverse_indexed_edges,persons,Person,ldbc_snb_exec_clean_ldbc_snb_is2_g6_7253ed90,741269,"{""persons"": 1528, ""posts"": 135701, ""comments"": 151043, ""post_has_creator_person"": 135701, ""comment_has_creator_person"": 151043, ""comment_reply_of_post"": 74256, ""comment_reply_of_comment"": 76787, ""forums"": 13750, ""places"": 1460}",11.865098905997002,completed,
ldbc_snb_is2_g7_26e684aa,IS2_RecentMessagesOfPerson,IS2,secondary_affected,G7,containment_baseline,persons,Person,ldbc_snb_exec_clean_ldbc_snb_is2_g7_26e684aa,741269,"{""persons"": 1528, ""posts"": 135701, ""comments"": 151043, ""post_has_creator_person"": 135701, ""comment_has_creator_person"": 151043, ""comment_reply_of_post"": 74256, ""comment_reply_of_comment"": 76787, ""forums"": 13750, ""places"": 1460}",11.35489917700761,completed,
ldbc_snb_is2_g9_b1df45f6,IS2_RecentMessagesOfPerson,IS2,secondary_affected,G9,hybrid_containment,persons,Person,ldbc_snb_exec_clean_ldbc_snb_is2_g9_b1df45f6,741269,"{""persons"": 1528, ""posts"": 135701, ""comments"": 151043, ""post_has_creator_person"": 135701, ""comment_has_creator_person"": 151043, ""comment_reply_of_post"": 74256, ""comment_reply_of_comment"": 76787, ""forums"": 13750, ""places"": 1460}",11.200192156000412,completed,
ldbc_snb_is3_g0_fc24df68,IS3_FriendsOfPerson,IS3,primary,G0,root_with_references,persons,Person,ldbc_snb_exec_clean_ldbc_snb_is3_g0_fc24df68,317555,"{""persons"": 1528, ""person_knows_person"": 14073, ""posts"": 135701, ""comments"": 151043, ""forums"": 13750, ""places"": 1460}",7.261538072008989,completed,
ldbc_snb_is3_g3_ebc00ba6,IS3_FriendsOfPerson,IS3,primary,G3,root_with_references_or_summaries,persons,Person,ldbc_snb_exec_clean_ldbc_snb_is3_g3_ebc00ba6,317555,"{""persons"": 1528, ""person_knows_person"": 14073, ""posts"": 135701, ""comments"": 151043, ""forums"": 13750, ""places"": 1460}",7.761963165001362,completed,
ldbc_snb_is4_g0_103e0c60,IS4_ContentOfMessage,IS4,control,G0,root_with_references,posts,Post,ldbc_snb_exec_clean_ldbc_snb_is4_g0_103e0c60,303482,"{""posts"": 135701, ""comments"": 151043, ""persons"": 1528, ""forums"": 13750, ""places"": 1460}",7.423842984993826,completed,
ldbc_snb_is4_g1_c923c633,IS4_ContentOfMessage,IS4,primary,G1,single_entity_lookup,posts,Post,ldbc_snb_exec_clean_ldbc_snb_is4_g1_c923c633,303482,"{""posts"": 135701, ""comments"": 151043, ""persons"": 1528, ""forums"": 13750, ""places"": 1460}",7.587866900998051,completed,
ldbc_snb_is5_g0_0e8582ef,IS5_CreatorOfMessage,IS5,primary,G0,root_with_references,posts,Post,ldbc_snb_exec_clean_ldbc_snb_is5_g0_0e8582ef,590226,"{""posts"": 135701, ""comments"": 151043, ""persons"": 1528, ""post_has_creator_person"": 135701, ""comment_has_creator_person"": 151043, ""forums"": 13750, ""places"": 1460}",9.688628344010795,completed,
ldbc_snb_is5_g3_f332352f,IS5_CreatorOfMessage,IS5,primary,G3,root_with_references_or_summaries,posts,Post,ldbc_snb_exec_clean_ldbc_snb_is5_g3_f332352f,590226,"{""posts"": 135701, ""comments"": 151043, ""persons"": 1528, ""post_has_creator_person"": 135701, ""comment_has_creator_person"": 151043, ""forums"": 13750, ""places"": 1460}",10.046719644000405,completed,
ldbc_snb_is6_g7_0aecbe5c,IS6_ForumOfMessage,IS6,primary,G7,containment_baseline,posts,Post,ldbc_snb_exec_clean_ldbc_snb_is6_g7_0aecbe5c,603976,"{""posts"": 135701, ""comments"": 151043, ""forums"": 13750, ""persons"": 1528, ""forum_container_of_post"": 135701, ""comment_reply_of_post"": 74256, ""comment_reply_of_comment"": 76787, ""forum_has_moderator_person"": 13750, ""places"": 1460}",11.207095630001277,completed,
ldbc_snb_is6_g9_c7584187,IS6_ForumOfMessage,IS6,primary,G9,hybrid_containment,posts,Post,ldbc_snb_exec_clean_ldbc_snb_is6_g9_c7584187,603976,"{""posts"": 135701, ""comments"": 151043, ""forums"": 13750, ""persons"": 1528, ""forum_container_of_post"": 135701, ""comment_reply_of_post"": 74256, ""comment_reply_of_comment"": 76787, ""forum_has_moderator_person"": 13750, ""places"": 1460}",11.082346284005325,completed,
ldbc_snb_is6_g0_768bbe02,IS6_ForumOfMessage,IS6,secondary_affected,G0,root_with_references,posts,Post,ldbc_snb_exec_clean_ldbc_snb_is6_g0_768bbe02,603976,"{""posts"": 135701, ""comments"": 151043, ""forums"": 13750, ""persons"": 1528, ""forum_container_of_post"": 135701, ""comment_reply_of_post"": 74256, ""comment_reply_of_comment"": 76787, ""forum_has_moderator_person"": 13750, ""places"": 1460}",11.229465808006353,completed,
ldbc_snb_is6_g3_f811f02c,IS6_ForumOfMessage,IS6,secondary_affected,G3,root_with_references_or_summaries,posts,Post,ldbc_snb_exec_clean_ldbc_snb_is6_g3_f811f02c,603976,"{""posts"": 135701, ""comments"": 151043, ""forums"": 13750, ""persons"": 1528, ""forum_container_of_post"": 135701, ""comment_reply_of_post"": 74256, ""comment_reply_of_comment"": 76787, ""forum_has_moderator_person"": 13750, ""places"": 1460}",11.019342147003044,completed,
ldbc_snb_is7_g0_7dff7761,IS7_RepliesOfMessage,IS7,primary,G0,root_with_references,posts,Post,ldbc_snb_exec_clean_ldbc_snb_is7_g0_7dff7761,755342,"{""posts"": 135701, ""comments"": 151043, ""persons"": 1528, ""comment_reply_of_post"": 74256, ""comment_reply_of_comment"": 76787, ""comment_has_creator_person"": 151043, ""post_has_creator_person"": 135701, ""person_knows_person"": 14073, ""forums"": 13750, ""places"": 1460}",11.610311507000006,completed,
ldbc_snb_is7_g3_6298fb5e,IS7_RepliesOfMessage,IS7,primary,G3,root_with_references_or_summaries,posts,Post,ldbc_snb_exec_clean_ldbc_snb_is7_g3_6298fb5e,755342,"{""posts"": 135701, ""comments"": 151043, ""persons"": 1528, ""comment_reply_of_post"": 74256, ""comment_reply_of_comment"": 76787, ""comment_has_creator_person"": 151043, ""post_has_creator_person"": 135701, ""person_knows_person"": 14073, ""forums"": 13750, ""places"": 1460}",11.838804642000468,completed,
ldbc_snb_is7_g7_4e6a7bf8,IS7_RepliesOfMessage,IS7,secondary_affected,G7,containment_baseline,posts,Post,ldbc_snb_exec_clean_ldbc_snb_is7_g7_4e6a7bf8,755342,"{""posts"": 135701, ""comments"": 151043, ""persons"": 1528, ""comment_reply_of_post"": 74256, ""comment_reply_of_comment"": 76787, ""comment_has_creator_person"": 151043, ""post_has_creator_person"": 135701, ""person_knows_person"": 14073, ""forums"": 13750, ""places"": 1460}",11.46365922500263,completed,
ldbc_snb_is7_g9_392f7469,IS7_RepliesOfMessage,IS7,secondary_affected,G9,hybrid_containment,posts,Post,ldbc_snb_exec_clean_ldbc_snb_is7_g9_392f7469,755342,"{""posts"": 135701, ""comments"": 151043, ""persons"": 1528, ""comment_reply_of_post"": 74256, ""comment_reply_of_comment"": 76787, ""comment_has_creator_person"": 151043, ""post_has_creator_person"": 135701, ""person_knows_person"": 14073, ""forums"": 13750, ""places"": 1460}",12.049814031008282,completed,
