official_id,query_name,sf1,sf10,sf30,delta_sf10_vs_sf1,delta_sf30_vs_sf1
Q1,Q1_CompanyProfileIBM,0.2333730109967291,0.2957840100862086,0.2247715950943529,0.2674302346399182,-0.036856943592748
Q10,Q10_CreateAccountHoldingAndBuyTransaction,0.5755637714173645,0.4270611854735761,0.6190445506945252,-0.25801239292405564,0.07554467712602275
Q2,Q2_CompanyWithIndustryCountryAndListedSecurities,0.1171174575574696,0.1553680398501455,0.2507009194232523,0.3266001763563413,1.140593935795039
Q3,Q3_SecuritiesHeldInEachFinancialServiceAccount,0.4349461290985345,0.8991432900074869,1.652036904124543,1.0672520798634153,2.7982563669402922
Q4,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,1.0028332064393908,4.308413300896064,17.142359330318868,3.2962411627685326,16.09392870144744
Q5,Q5_ReportsAndMetricDataOfCompany,37.62679109349847,28.43278254731557,45.21718232426791,-0.2443473992596603,0.20172836987103546
Q6,Q6_TechUSListedSecuritiesWithHighLastTradedValue,0.3859236370772123,91.47433224134149,418.83483037818223,236.027026730265,1084.279029681163
Q7,Q7_PersonsWhoBoughtMoreIBMThanSold,1.186998502817005,0.8576980675570667,1.322278199950233,-0.2774227890586525,0.11396787511709587
Q8,Q8_IBMTransactionsBelowAverageSellingPrice,0.8635510283056645,0.9216521284542978,1.2928820273373276,0.0672816061172793,0.49716922910049044
Q9,Q9_PersonsWhoBoughtAndSoldSameStock,0.8514764602296054,1.0568699159193784,1.2238605471793562,0.24122035697192082,0.43733926226138453
