scale_label,run_phase,official_id,query_name,best_config,best_design_pattern,best_p95_ms,best_primary_config,best_primary_p95_ms,primary_regret,activated_regret
sf0_25,hot,QG1,QG1_WatchItemById,G9,containment_family,0.2058836013020482,G0,0.2859556516341399,0.3889190291295682,0.1097841110093237
sf0_25,hot,QG2,QG2_WatchItemByTitle,G9,containment_family,0.2828345986927161,G0,0.2979677996336249,0.053505479919556,0.042110307247159
sf0_25,hot,QG6,QG6_EpisodesOfSeries,G2,root_local_family,0.6322362009086646,G7,0.9189984484692104,0.453568218884658,0.453568218884658
sf0_25,hot,QG7,QG7_UpdateWatchItemMetadata,G8,containment_family,0.262326949450653,G0,0.3965134521422441,0.511523894028407,0.0212738294404616
sf0_50,hot,QG1,QG1_WatchItemById,G7,containment_family,0.1924242096720263,G0,0.2703699959965888,0.4050726592948759,0.3116793013176522
sf0_50,hot,QG2,QG2_WatchItemByTitle,G7,containment_family,0.2852347490261309,G0,0.3065782526391558,0.0748278520969041,0.0748278520969041
sf0_50,hot,QG7,QG7_UpdateWatchItemMetadata,G7,containment_family,0.2189182479924056,G0,0.3840257930278312,0.7541972702118155,0.0631082601927065
sf0_50,hot,QG8,QG8_AddPersonRoleToWatchItem,G7,containment_family,0.3584647929528728,G0,0.4014646503492258,0.1199555946405206,0.0498700428964394
sf_1,hot,QG1,QG1_WatchItemById,G9,containment_family,0.2132579043973237,G0,0.2717232549912296,0.2741532641387038,0.0043473267460989
sf_1,hot,QG2,QG2_WatchItemByTitle,G8,containment_family,0.3094789477472659,G0,0.3165574067679699,0.0228721826548426,0.0228721826548426
sf_1,hot,QG7,QG7_UpdateWatchItemMetadata,G8,containment_family,0.2347379522689152,G0,0.30432164130616,0.296431354046788,0.0081789091569362
