official_id,query_name,sf0.1,sf1,sf3,sf1_vs_sf0_1_ratio,sf3_vs_sf1_ratio,sf3_vs_sf0_1_ratio
IC1,IC1_TransitiveFriendsWithName,131.36169524441357,227.727482256887,260.0222475040937,1.7335912256093664,1.141813209925962,1.9794373620125132
IC2,IC2_RecentMessagesByFriends,28.63882864112384,37.090558947238605,36.10532139864517,1.2951143851595428,0.9734369721956754,1.260712225736769
IC3,IC3_FriendsAndFriendsOfFriendsInCountries,164.71139774730543,191.8174951424589,205.56545419531176,1.1645672234336735,1.0716720810197344,1.2480341798245391
IC4,IC4_NewTopics,44.0561354997044,66.38714834698476,45.1884718509973,1.5068763429654466,0.6806810199891606,1.0257021261272563
IC5,IC5_NewGroups,135.32296839985065,176.75362160953227,193.8014049548656,1.3061612799333726,1.096449414671648,1.432139770849717
IC6,IC6_TagCoOccurrence,198.16879355275887,198.5287466013688,253.19213405746268,1.0018163962254436,1.2753424297079454,1.277658956883415
IC7,IC7_RecentLikers,7.464429102401482,7.0093220987473615,8.036814247316215,0.9390298980122,1.1465893754194114,1.076681704261962
INS1,INS1_AddPerson,1.1844372005725743,1.6241159406490615,1.432566391304135,1.3712132140597577,0.8820591901410835,1.209491217104302
INS2,INS2_AddLikeToPost,1.049604903528234,1.159712503431365,1.6308153048157683,1.104903854329382,1.4062237839037703,1.5537420788849239
INS3,INS3_AddLikeToComment,1.2222706456668675,1.868959490093402,1.3124491510097869,1.5290880924933796,0.7022352051858528,1.0737794903793327
INS4,INS4_AddForum,1.126103304704884,1.39100500382483,1.4339607529109342,1.2352374760052482,1.0308810888300108,1.2733829542279247
INS5,INS5_AddForumMembership,1.1133203508506997,2.4009961780393496,1.6525435086805365,2.156608541472114,0.6882741104694308,1.4843378255124957
INS6,INS6_AddPost,2.2203130545676686,2.18829244695371,2.20732415036764,0.985578336555701,1.0086970566664542,0.9941499671979555
INS7,INS7_AddComment,1.1866082008054946,2.159610408125445,1.2418729689670729,1.8199860802069765,0.5750449082364936,1.0465737284843164
INS8,INS8_AddFriendship,1.948728306160774,1.9326052322867329,1.566860551247373,0.9917263613285294,0.810750444566169,0.8040425883350943
IS1,IS1_ProfileOfPerson,1.6773467978055117,2.110691754205618,1.229828267241828,1.2583514375006144,0.5826659742197587,0.7331985662421293
IS2,IS2_RecentMessagesOfPerson,2.2557887037692126,3.2308551410096698,2.7112717303680247,1.4322507846640122,0.8391808397577148,1.2019174162179918
IS3,IS3_FriendsOfPerson,2.853694301302312,2.270170148403849,2.661645182524808,0.7955197399272355,1.172443036657937,0.9327015796016201
IS4,IS4_ContentOfMessage,1.9409583990636747,2.2880744814756326,1.2613651109859347,1.1788374663668257,0.5512779943126899,0.6498671540793568
IS5,IS5_CreatorOfMessage,1.1096553032984957,2.577594298054464,1.4240613440051677,2.3228783662750585,0.5524769142607242,1.2833366720026365
IS6,IS6_ForumOfMessage,1.170768500014674,2.301289017486852,1.3323502091225234,1.9656225952936115,0.5789582268886553,1.1380133725034662
IS7,IS7_RepliesOfMessage,7.944003101874841,11.009078891947864,14.036817901069298,1.385835170350027,1.2750220103641867,1.7669703449330867
