official_id,query_name,scale_label,run_phase,query_group,n_tested_configs,n_activated_configs,DSR,best_config,best_group,best_design_pattern,best_p95_ms,top1_preserved_by_activated,near_best_preserved_by_activated,activated_regret,best_activated_config,best_activated_p95_ms,best_primary_config,best_primary_p95_ms,primary_regret
INS3,INS3_AddLikeToComment,sf1,hot,insert,2,2,0.8,G6,primary,referenced_or_reverse_indexed_edges,1.868959490093402,True,True,0.0,G6,1.868959490093402,G6,1.868959490093402,0.0
INS4,INS4_AddForum,sf1,hot,insert,2,2,0.8,G0,primary,root_with_references,1.39100500382483,True,True,0.0,G0,1.39100500382483,G0,1.39100500382483,0.0
INS5,INS5_AddForumMembership,sf1,hot,insert,2,2,0.8,G4,primary,explicit_edge_collection,2.4009961780393496,True,True,0.0,G4,2.4009961780393496,G4,2.4009961780393496,0.0
INS6,INS6_AddPost,sf1,hot,insert,4,4,0.6,G9,secondary_affected,hybrid_containment,2.18829244695371,True,True,0.0,G9,2.18829244695371,G3,2.343452487548347,0.0709046182609792
INS7,INS7_AddComment,sf1,hot,insert,4,4,0.6,G9,secondary_affected,hybrid_containment,2.159610408125445,True,True,0.0,G9,2.159610408125445,G3,2.172901641461067,0.0061544588253577
INS8,INS8_AddFriendship,sf1,hot,insert,2,2,0.8,G3,primary,root_with_references_or_summaries,1.9326052322867329,True,True,0.0,G3,1.9326052322867329,G3,1.9326052322867329,0.0
IS1,IS1_ProfileOfPerson,sf1,hot,short_read,2,2,0.8,G0,primary,root_with_references,2.110691754205618,True,True,0.0,G0,2.110691754205618,G0,2.110691754205618,0.0
IS2,IS2_RecentMessagesOfPerson,sf1,hot,short_read,6,6,0.4,G9,secondary_affected,hybrid_containment,3.2308551410096698,True,True,0.0,G9,3.2308551410096698,,,
IS3,IS3_FriendsOfPerson,sf1,hot,short_read,2,2,0.8,G0,primary,root_with_references,2.270170148403849,True,True,0.0,G0,2.270170148403849,G0,2.270170148403849,0.0
IS4,IS4_ContentOfMessage,sf1,hot,short_read,2,1,0.9,G0,control,root_with_references,2.2880744814756326,False,False,0.5178098346020632,G1,3.4728619502857314,G1,3.4728619502857314,0.5178098346020632
IS5,IS5_CreatorOfMessage,sf1,hot,short_read,2,2,0.8,G0,primary,root_with_references,2.577594298054464,True,True,0.0,G0,2.577594298054464,G0,2.577594298054464,0.0
IS6,IS6_ForumOfMessage,sf1,hot,short_read,4,4,0.6,G9,primary,hybrid_containment,2.301289017486852,True,True,0.0,G9,2.301289017486852,G9,2.301289017486852,0.0
IS7,IS7_RepliesOfMessage,sf1,hot,short_read,4,4,0.6,G9,secondary_affected,hybrid_containment,11.009078891947864,True,True,0.0,G9,11.009078891947864,G0,11.44705885089934,0.0397835244210866
IC1,IC1_TransitiveFriendsWithName,sf3,hot,complex_read,2,2,0.8,G3,primary,root_with_references_or_summaries,260.0222475040937,True,True,0.0,G3,260.0222475040937,G3,260.0222475040937,0.0
IC2,IC2_RecentMessagesByFriends,sf3,hot,complex_read,2,2,0.8,G0,primary,root_with_references,36.10532139864517,True,True,0.0,G0,36.10532139864517,G0,36.10532139864517,0.0
IC3,IC3_FriendsAndFriendsOfFriendsInCountries,sf3,hot,complex_read,4,4,0.6,G0,primary,root_with_references,205.56545419531176,True,True,0.0,G0,205.56545419531176,G0,205.56545419531176,0.0
IC4,IC4_NewTopics,sf3,hot,complex_read,2,2,0.8,G0,primary,root_with_references,45.1884718509973,True,True,0.0,G0,45.1884718509973,G0,45.1884718509973,0.0
IC5,IC5_NewGroups,sf3,hot,complex_read,6,6,0.4,G7,secondary_affected,containment_baseline,193.8014049548656,True,True,0.0,G7,193.8014049548656,G3,205.2031500483281,0.0588321075180948
IC6,IC6_TagCoOccurrence,sf3,hot,complex_read,2,2,0.8,G0,primary,root_with_references,253.19213405746268,True,True,0.0,G0,253.19213405746268,G0,253.19213405746268,0.0
IC7,IC7_RecentLikers,sf3,hot,complex_read,4,4,0.6,G4,secondary_affected,explicit_edge_collection,8.036814247316215,True,True,0.0,G4,8.036814247316215,G0,9.72743819002062,0.210359962377999
INS1,INS1_AddPerson,sf3,hot,insert,2,2,0.8,G3,primary,root_with_references_or_summaries,1.432566391304135,True,True,0.0,G3,1.432566391304135,G3,1.432566391304135,0.0
INS2,INS2_AddLikeToPost,sf3,hot,insert,2,2,0.8,G6,primary,referenced_or_reverse_indexed_edges,1.6308153048157683,True,True,0.0,G6,1.6308153048157683,G6,1.6308153048157683,0.0
INS3,INS3_AddLikeToComment,sf3,hot,insert,2,2,0.8,G4,primary,explicit_edge_collection,1.3124491510097869,True,True,0.0,G4,1.3124491510097869,G4,1.3124491510097869,0.0
INS4,INS4_AddForum,sf3,hot,insert,2,2,0.8,G3,primary,root_with_references_or_summaries,1.4339607529109342,True,True,0.0,G3,1.4339607529109342,G3,1.4339607529109342,0.0
INS5,INS5_AddForumMembership,sf3,hot,insert,2,2,0.8,G6,primary,referenced_or_reverse_indexed_edges,1.6525435086805365,True,True,0.0,G6,1.6525435086805365,G6,1.6525435086805365,0.0
INS6,INS6_AddPost,sf3,hot,insert,4,4,0.6,G7,secondary_affected,containment_baseline,2.20732415036764,True,True,0.0,G7,2.20732415036764,G0,2.5807798199821264,0.1691893189100865
INS7,INS7_AddComment,sf3,hot,insert,4,4,0.6,G7,secondary_affected,containment_baseline,1.2418729689670729,True,True,0.0,G7,1.2418729689670729,G0,1.4061904716072602,0.1323142597884695
INS8,INS8_AddFriendship,sf3,hot,insert,2,2,0.8,G3,primary,root_with_references_or_summaries,1.566860551247373,True,True,0.0,G3,1.566860551247373,G3,1.566860551247373,0.0
IS1,IS1_ProfileOfPerson,sf3,hot,short_read,2,2,0.8,G3,primary,root_with_references_or_summaries,1.229828267241828,True,True,0.0,G3,1.229828267241828,G3,1.229828267241828,0.0
IS2,IS2_RecentMessagesOfPerson,sf3,hot,short_read,6,6,0.4,G0,secondary_affected,root_with_references,2.7112717303680247,True,True,0.0,G0,2.7112717303680247,,,
IS3,IS3_FriendsOfPerson,sf3,hot,short_read,2,2,0.8,G0,primary,root_with_references,2.661645182524808,True,True,0.0,G0,2.661645182524808,G0,2.661645182524808,0.0
IS4,IS4_ContentOfMessage,sf3,hot,short_read,2,1,0.9,G1,primary,single_entity_lookup,1.2613651109859347,True,True,0.0,G1,1.2613651109859347,G1,1.2613651109859347,0.0
IS5,IS5_CreatorOfMessage,sf3,hot,short_read,2,2,0.8,G0,primary,root_with_references,1.4240613440051677,True,True,0.0,G0,1.4240613440051677,G0,1.4240613440051677,0.0
IS6,IS6_ForumOfMessage,sf3,hot,short_read,4,4,0.6,G0,secondary_affected,root_with_references,1.3323502091225234,True,True,0.0,G0,1.3323502091225234,G7,2.3992693721083924,0.8007798217621285
IS7,IS7_RepliesOfMessage,sf3,hot,short_read,4,4,0.6,G7,secondary_affected,containment_baseline,14.036817901069298,True,True,0.0,G7,14.036817901069298,G3,21.146798258996554,0.5065236585697697
