benchmark_family,family_label,scale_label,n_configurations_in_group,config_names,experiment_ids,mongo_db_names,activated_classes,primary_queries_union,secondary_affected_queries_union,control_queries_union,n_primary_queries_union,n_secondary_affected_queries_union,n_control_queries_union,comparison_question
associative_family,Associativa,sf0.25,3,"watchitem_g4, watchitem_g5, watchitem_g6","watchitem_g4_sf0.25, watchitem_g5_sf0.25, watchitem_g6_sf0.25","imdb_mongo_sf0.25_watchitem_g4, imdb_mongo_sf0.25_watchitem_g5, imdb_mongo_sf0.25_watchitem_g6","G4, G5, G6","QG4_AllPersonsOfTypeForWatchItem, QG5_AllPersonsForEpisodesOfSeries, QG8_AddPersonRoleToWatchItem","QG10_AdvancedSearchWatchItems, QG1_WatchItemById, QG2_WatchItemByTitle, QG3_RecommendationByGenreAndSubtype, QG7_UpdateWatchItemMetadata, QG9_TopRatedSeriesByGenre",QG6_EpisodesOfSeries,3,6,1,"Vale mais embutimento parcial, snapshot ou full embedding na região associativa WatchItem–Role–Person?"
containment_family,Containment,sf0.25,3,"series_g7, series_g8, series_g9","series_g7_sf0.25, series_g8_sf0.25, series_g9_sf0.25","imdb_mongo_sf0.25_series_g7, imdb_mongo_sf0.25_series_g8, imdb_mongo_sf0.25_series_g9","G7, G8, G9",QG6_EpisodesOfSeries,"QG10_AdvancedSearchWatchItems, QG3_RecommendationByGenreAndSubtype, QG5_AllPersonsForEpisodesOfSeries, QG9_TopRatedSeriesByGenre","QG1_WatchItemById, QG2_WatchItemByTitle, QG4_AllPersonsOfTypeForWatchItem, QG7_UpdateWatchItemMetadata, QG8_AddPersonRoleToWatchItem",1,4,5,"Containment baseline, reduzido ou completo: qual traz o melhor trade-off na relação Series–Episode?"
root_local_family,WatchItem rasa,sf0.25,3,"watchitem_g0, watchitem_g2, watchitem_g3","watchitem_g0_sf0.25, watchitem_g2_sf0.25, watchitem_g3_sf0.25","imdb_mongo_sf0.25_watchitem_g0, imdb_mongo_sf0.25_watchitem_g2, imdb_mongo_sf0.25_watchitem_g3","G0, G2, G3","QG10_AdvancedSearchWatchItems, QG1_WatchItemById, QG2_WatchItemByTitle, QG3_RecommendationByGenreAndSubtype, QG4_AllPersonsOfTypeForWatchItem, QG5_AllPersonsForEpisodesOfSeries, QG7_UpdateWatchItemMetadata, QG8_AddPersonRoleToWatchItem, QG9_TopRatedSeriesByGenre","QG1_WatchItemById, QG2_WatchItemByTitle, QG4_AllPersonsOfTypeForWatchItem, QG5_AllPersonsForEpisodesOfSeries, QG7_UpdateWatchItemMetadata, QG8_AddPersonRoleToWatchItem, QG6_EpisodesOfSeries",QG6_EpisodesOfSeries,9,7,1,Quanto cada política rasa melhora consultas centradas na raiz e qual o custo em queries afetadas?
associative_family,Associativa,sf0.5,3,"watchitem_g4, watchitem_g5, watchitem_g6","watchitem_g4_sf0.5, watchitem_g5_sf0.5, watchitem_g6_sf0.5","imdb_mongo_sf0.5_watchitem_g4, imdb_mongo_sf0.5_watchitem_g5, imdb_mongo_sf0.5_watchitem_g6","G4, G5, G6","QG4_AllPersonsOfTypeForWatchItem, QG5_AllPersonsForEpisodesOfSeries, QG8_AddPersonRoleToWatchItem","QG10_AdvancedSearchWatchItems, QG1_WatchItemById, QG2_WatchItemByTitle, QG3_RecommendationByGenreAndSubtype, QG7_UpdateWatchItemMetadata, QG9_TopRatedSeriesByGenre",QG6_EpisodesOfSeries,3,6,1,"Vale mais embutimento parcial, snapshot ou full embedding na região associativa WatchItem–Role–Person?"
containment_family,Containment,sf0.5,3,"series_g7, series_g8, series_g9","series_g7_sf0.5, series_g8_sf0.5, series_g9_sf0.5","imdb_mongo_sf0.5_series_g7, imdb_mongo_sf0.5_series_g8, imdb_mongo_sf0.5_series_g9","G7, G8, G9",QG6_EpisodesOfSeries,"QG10_AdvancedSearchWatchItems, QG3_RecommendationByGenreAndSubtype, QG5_AllPersonsForEpisodesOfSeries, QG9_TopRatedSeriesByGenre","QG1_WatchItemById, QG2_WatchItemByTitle, QG4_AllPersonsOfTypeForWatchItem, QG7_UpdateWatchItemMetadata, QG8_AddPersonRoleToWatchItem",1,4,5,"Containment baseline, reduzido ou completo: qual traz o melhor trade-off na relação Series–Episode?"
root_local_family,WatchItem rasa,sf0.5,3,"watchitem_g0, watchitem_g2, watchitem_g3","watchitem_g0_sf0.5, watchitem_g2_sf0.5, watchitem_g3_sf0.5","imdb_mongo_sf0.5_watchitem_g0, imdb_mongo_sf0.5_watchitem_g2, imdb_mongo_sf0.5_watchitem_g3","G0, G2, G3","QG10_AdvancedSearchWatchItems, QG1_WatchItemById, QG2_WatchItemByTitle, QG3_RecommendationByGenreAndSubtype, QG4_AllPersonsOfTypeForWatchItem, QG5_AllPersonsForEpisodesOfSeries, QG7_UpdateWatchItemMetadata, QG8_AddPersonRoleToWatchItem, QG9_TopRatedSeriesByGenre","QG1_WatchItemById, QG2_WatchItemByTitle, QG4_AllPersonsOfTypeForWatchItem, QG5_AllPersonsForEpisodesOfSeries, QG7_UpdateWatchItemMetadata, QG8_AddPersonRoleToWatchItem, QG6_EpisodesOfSeries",QG6_EpisodesOfSeries,9,7,1,Quanto cada política rasa melhora consultas centradas na raiz e qual o custo em queries afetadas?
associative_family,Associativa,sf1,3,"watchitem_g4, watchitem_g5, watchitem_g6","watchitem_g4_sf1, watchitem_g5_sf1, watchitem_g6_sf1","imdb_mongo_sf1_watchitem_g4, imdb_mongo_sf1_watchitem_g5, imdb_mongo_sf1_watchitem_g6","G4, G5, G6","QG4_AllPersonsOfTypeForWatchItem, QG5_AllPersonsForEpisodesOfSeries, QG8_AddPersonRoleToWatchItem","QG10_AdvancedSearchWatchItems, QG1_WatchItemById, QG2_WatchItemByTitle, QG3_RecommendationByGenreAndSubtype, QG7_UpdateWatchItemMetadata, QG9_TopRatedSeriesByGenre",QG6_EpisodesOfSeries,3,6,1,"Vale mais embutimento parcial, snapshot ou full embedding na região associativa WatchItem–Role–Person?"
containment_family,Containment,sf1,3,"series_g7, series_g8, series_g9","series_g7_sf1, series_g8_sf1, series_g9_sf1","imdb_mongo_sf1_series_g7, imdb_mongo_sf1_series_g8, imdb_mongo_sf1_series_g9","G7, G8, G9",QG6_EpisodesOfSeries,"QG10_AdvancedSearchWatchItems, QG3_RecommendationByGenreAndSubtype, QG5_AllPersonsForEpisodesOfSeries, QG9_TopRatedSeriesByGenre","QG1_WatchItemById, QG2_WatchItemByTitle, QG4_AllPersonsOfTypeForWatchItem, QG7_UpdateWatchItemMetadata, QG8_AddPersonRoleToWatchItem",1,4,5,"Containment baseline, reduzido ou completo: qual traz o melhor trade-off na relação Series–Episode?"
root_local_family,WatchItem rasa,sf1,3,"watchitem_g0, watchitem_g2, watchitem_g3","watchitem_g0_sf1, watchitem_g2_sf1, watchitem_g3_sf1","imdb_mongo_sf1_watchitem_g0, imdb_mongo_sf1_watchitem_g2, imdb_mongo_sf1_watchitem_g3","G0, G2, G3","QG10_AdvancedSearchWatchItems, QG1_WatchItemById, QG2_WatchItemByTitle, QG3_RecommendationByGenreAndSubtype, QG4_AllPersonsOfTypeForWatchItem, QG5_AllPersonsForEpisodesOfSeries, QG7_UpdateWatchItemMetadata, QG8_AddPersonRoleToWatchItem, QG9_TopRatedSeriesByGenre","QG1_WatchItemById, QG2_WatchItemByTitle, QG4_AllPersonsOfTypeForWatchItem, QG5_AllPersonsForEpisodesOfSeries, QG7_UpdateWatchItemMetadata, QG8_AddPersonRoleToWatchItem, QG6_EpisodesOfSeries",QG6_EpisodesOfSeries,9,7,1,Quanto cada política rasa melhora consultas centradas na raiz e qual o custo em queries afetadas?
